X401,X402,X403,X405,YY1,Y1
1,5,5,1,74,743
1,5,5,1,74,744
1,5,5,1,74,745
1,1,1,1,75,751
1,1,1,1,75,752
1,1,1,1,75,753
1,1,1,1,75,754
1,1,1,1,75,755
1,5,1,1,76,761
1,5,1,1,76,762
1,5,1,1,76,763
1,5,1,1,76,764
1,5,1,1,76,765
5,5,1,1,77,771
5,5,1,1,77,772
5,5,1,1,77,773
5,5,1,1,77,774
5,5,1,1,77,775
3,5,5,5,78,781
3,5,5,5,78,782
3,5,5,5,78,783
3,5,5,5,78,784
3,5,5,5,78,785
5,5,5,1,79,791
5,5,5,1,79,792
5,5,5,1,79,793
5,5,5,1,79,794
5,5,5,1,79,795
5,5,1,1,80,801
5,5,1,1,80,802
5,5,1,1,80,803
5,5,1,1,80,804
5,5,1,1,80,805
3,1,5,1,81,811
3,1,5,1,81,812
3,1,5,1,81,813
3,1,5,1,81,814
3,1,5,1,81,815
3,5,1,1,82,821
3,5,1,1,82,822
3,5,1,1,82,823
3,5,1,1,82,824
3,5,1,1,82,825
1,5,1,1,83,831
1,5,1,1,83,832
1,5,1,1,83,833
1,5,1,1,83,834
1,5,1,1,83,835
5,5,5,5,84,841
5,5,5,5,84,842
5,5,5,5,84,843
5,5,5,5,84,844
5,5,5,5,84,845
5,5,1,1,85,851
5,5,1,1,85,852
5,5,1,1,85,853
5,5,1,1,85,854
5,5,1,1,85,855
3,1,1,1,86,861
3,1,1,1,86,862
3,1,1,1,86,863
3,1,1,1,86,864
3,1,1,1,86,865
3,5,1,1,87,871
3,5,1,1,87,872
3,5,1,1,87,873
3,5,1,1,87,874
3,5,1,1,87,875
3,5,5,5,88,881
3,5,5,5,88,882
3,5,5,5,88,883
3,5,5,5,88,884
3,5,5,5,88,885
1,5,1,1,89,891
1,5,1,1,89,892
1,5,1,1,89,893
1,5,1,1,89,894
1,5,1,1,89,895
1,5,1,1,90,901
1,5,1,1,90,902
1,5,1,1,90,903
1,5,1,1,90,904
1,5,1,1,90,905
3,5,5,1,91,911
3,5,5,1,91,912
3,5,5,1,91,913
3,5,5,1,91,914
3,5,5,1,91,915
1,5,5,5,92,921
1,5,5,5,92,922
1,5,5,5,92,923
1,5,5,5,92,924
1,5,5,5,92,925
3,5,5,1,93,931
3,5,5,1,93,932
3,5,5,1,93,933
3,5,5,1,93,934
3,5,5,1,93,935
1,5,1,1,94,941
1,5,1,1,94,942
1,5,1,1,94,943
1,5,1,1,94,944
1,5,1,1,94,945
5,5,1,1,95,951
5,5,1,1,95,952
5,5,1,1,95,953
5,5,1,1,95,954
5,5,1,1,95,955
1,5,1,1,96,961
1,5,1,1,96,962
1,5,1,1,96,963
1,5,1,1,96,964
1,5,1,1,96,965
5,5,5,5,97,971
5,5,5,5,97,972
5,5,5,5,97,973
5,5,5,5,97,974
5,5,5,5,97,975
1,5,5,1,98,981
1,5,5,1,98,982
1,5,5,1,98,983
1,5,5,1,98,984
1,5,5,1,98,985
3,1,1,1,99,991
3,1,1,1,99,992
3,1,1,1,99,993
3,1,1,1,99,994
3,1,1,1,99,995
5,5,1,1,100,1001
5,5,1,1,100,1002
5,5,1,1,100,1003
5,5,1,1,100,1004
5,5,1,1,100,1005
5,5,5,1,101,1011
5,5,5,1,101,1012
5,5,5,1,101,1013
5,5,5,1,101,1014
5,5,5,1,101,1015
3,1,5,1,102,1021
3,1,5,1,102,1022
3,1,5,1,102,1023
3,1,5,1,102,1024
3,1,5,1,102,1025
3,5,1,1,103,1031
3,5,1,1,103,1032
3,5,1,1,103,1033
3,5,1,1,103,1034
3,5,1,1,103,1035
5,5,5,1,104,1041
5,5,5,1,104,1042
5,5,5,1,104,1043
5,5,5,1,104,1044
5,5,5,1,104,1045
5,5,1,5,105,1051
5,5,1,5,105,1052
5,5,1,5,105,1053
5,5,1,5,105,1054
5,5,1,5,105,1055
5,5,5,5,106,1061
5,5,5,5,106,1062
5,5,5,5,106,1063
5,5,5,5,106,1064
5,5,5,5,106,1065
1,5,1,1,107,1071
1,5,1,1,107,1072
1,5,1,1,107,1073
1,5,1,1,107,1074
1,5,1,1,107,1075
5,5,5,5,108,1081
5,5,5,5,108,1082
5,5,5,5,108,1083
5,5,5,5,108,1084
5,5,5,5,108,1085
5,5,5,5,109,1091
5,5,5,5,109,1092
5,5,5,5,109,1093
5,5,5,5,109,1094
5,5,5,5,109,1095
3,5,1,1,110,1101
3,5,1,1,110,1102
3,5,1,1,110,1103
3,5,1,1,110,1104
3,5,1,1,110,1105
3,5,1,1,111,1111
3,5,1,1,111,1112
3,5,1,1,111,1113
3,5,1,1,111,1114
3,5,1,1,111,1115
3,5,5,1,112,1121
3,5,5,1,112,1122
3,5,5,1,112,1123
3,5,5,1,112,1124
3,5,5,1,112,1125
1,5,1,1,113,1131
1,5,1,1,113,1132
1,5,1,1,113,1133
1,5,1,1,113,1134
1,5,1,1,113,1135
5,5,5,1,114,1141
5,5,5,1,114,1142
5,5,5,1,114,1143
5,5,5,1,114,1144
5,5,5,1,114,1145
3,5,5,1,116,1161
3,5,5,1,116,1162
3,5,5,1,116,1163
3,5,5,1,116,1164
3,5,5,1,116,1165
3,5,1,1,117,1171
3,5,1,1,117,1172
3,5,1,1,117,1173
3,5,1,1,117,1174
3,5,1,1,117,1175
5,5,5,1,118,1181
5,5,5,1,118,1182
5,5,5,1,118,1183
5,5,5,1,118,1184
5,5,5,1,118,1185
5,5,1,5,119,1191
5,5,1,5,119,1192
5,5,1,5,119,1193
5,5,1,5,119,1194
5,5,1,5,119,1195
1,5,5,1,120,1201
1,5,5,1,120,1202
1,5,5,1,120,1203
1,5,5,1,120,1204
1,5,5,1,120,1205
5,5,1,1,121,1211
5,5,1,1,121,1212
5,5,1,1,121,1213
5,5,1,1,121,1214
5,5,1,1,121,1215
3,1,1,1,122,1221
3,1,1,1,122,1222
3,1,1,1,122,1223
3,1,1,1,122,1224
3,1,1,1,122,1225
5,5,1,1,123,1231
5,5,1,1,123,1232
5,5,1,1,123,1233
5,5,1,1,123,1234
5,5,1,1,123,1235
3,5,5,1,124,1241
3,5,5,1,124,1242
3,5,5,1,124,1243
3,5,5,1,124,1244
3,5,5,1,124,1245
3,5,5,5,125,1251
3,5,5,5,125,1252
3,5,5,5,125,1253
3,5,5,5,125,1254
3,5,5,5,125,1255
3,5,1,1,126,1261
3,5,1,1,126,1262
3,5,1,1,126,1263
3,5,1,1,126,1264
3,5,1,1,126,1265
1,5,5,1,127,1271
1,5,5,1,127,1272
1,5,5,1,127,1273
1,5,5,1,127,1274
1,5,5,1,127,1275
3,5,1,1,128,1281
3,5,1,1,128,1282
3,5,1,1,128,1283
3,5,1,1,128,1284
3,5,1,1,128,1285
3,1,1,1,129,1291
3,1,1,1,129,1292
3,1,1,1,129,1293
3,1,1,1,129,1294
3,1,1,1,129,1295
5,5,1,1,130,1301
5,5,1,1,130,1302
5,5,1,1,130,1303
5,5,1,1,130,1304
5,5,1,1,130,1305
1,5,5,5,131,1311
1,5,5,5,131,1312
1,5,5,5,131,1313
1,5,5,5,131,1314
1,5,5,5,131,1315
1,1,5,1,132,1321
1,1,5,1,132,1322
1,1,5,1,132,1323
1,1,5,1,132,1324
1,1,5,1,132,1325
1,5,1,1,133,1331
1,5,1,1,133,1332
1,5,1,1,133,1333
1,5,1,1,133,1334
1,5,1,1,133,1335
3,5,1,1,134,1341
3,5,1,1,134,1342
3,5,1,1,134,1343
3,5,1,1,134,1344
3,5,1,1,134,1345
3,5,1,1,135,1351
3,5,1,1,135,1352
3,5,1,1,135,1353
3,5,1,1,135,1354
3,5,1,1,135,1355
1,5,1,1,136,1361
1,5,1,1,136,1362
1,5,1,1,136,1363
1,5,1,1,136,1364
1,5,1,1,136,1365
5,5,5,5,137,1371
5,5,5,5,137,1372
5,5,5,5,137,1373
5,5,5,5,137,1374
5,5,5,5,137,1375
5,5,1,5,138,1381
5,5,1,5,138,1382
5,5,1,5,138,1383
5,5,1,5,138,1384
5,5,1,5,138,1385
5,5,1,5,139,1391
5,5,1,5,139,1392
5,5,1,5,139,1393
5,5,1,5,139,1394
5,5,1,5,139,1395
1,5,1,1,140,1401
1,5,1,1,140,1402
1,5,1,1,140,1403
1,5,1,1,140,1404
1,5,1,1,140,1405
5,5,5,1,141,1411
5,5,5,1,141,1412
5,5,5,1,141,1413
5,5,5,1,141,1414
5,5,5,1,141,1415
5,5,5,1,142,1421
5,5,5,1,142,1422
5,5,5,1,142,1423
5,5,5,1,142,1424
5,5,5,1,142,1425
3,5,5,1,143,1431
3,5,5,1,143,1432
3,5,5,1,143,1433
3,5,5,1,143,1434
3,5,5,1,143,1435
3,5,5,1,144,1441
3,5,5,1,144,1442
3,5,5,1,144,1443
3,5,5,1,144,1444
3,5,5,1,144,1445
3,5,1,1,145,1451
3,5,1,1,145,1452
3,5,1,1,145,1453
3,5,1,1,145,1454
3,5,1,1,145,1455
5,5,5,1,146,1461
5,5,5,1,146,1462
5,5,5,1,146,1463
5,5,5,1,146,1464
5,5,5,1,146,1465
3,5,1,1,147,1471
3,5,1,1,147,1472
3,5,1,1,147,1473
3,5,1,1,147,1474
3,5,1,1,147,1475
5,5,1,1,148,1481
5,5,1,1,148,1482
5,5,1,1,148,1483
5,5,1,1,148,1484
5,5,1,1,148,1485
1,5,1,1,149,1491
1,5,1,1,149,1492
1,5,1,1,149,1493
1,5,1,1,149,1494
1,5,1,1,149,1495
3,5,1,1,150,1501
3,5,1,1,150,1502
3,5,1,1,150,1503
3,5,1,1,150,1504
3,5,1,1,150,1505
1,5,5,1,151,1511
1,5,5,1,151,1512
1,5,5,1,151,1513
1,5,5,1,151,1514
1,5,5,1,151,1515
3,5,1,5,153,1531
3,5,1,5,153,1532
3,5,1,5,153,1533
3,5,1,5,153,1534
3,5,1,5,153,1535
3,5,1,1,154,1541
3,5,1,1,154,1542
3,5,1,1,154,1543
3,5,1,1,154,1544
3,5,1,1,154,1545
1,5,1,1,155,1551
1,5,1,1,155,1552
1,5,1,1,155,1553
1,5,1,1,155,1554
1,5,1,1,155,1555
1,5,1,1,156,1561
1,5,1,1,156,1562
1,5,1,1,156,1563
1,5,1,1,156,1564
1,5,1,1,156,1565
3,5,5,1,157,1571
3,5,5,1,157,1572
3,5,5,1,157,1573
3,5,5,1,157,1574
3,5,5,1,157,1575
3,5,1,1,158,1581
3,5,1,1,158,1582
3,5,1,1,158,1583
3,5,1,1,158,1584
3,5,1,1,158,1585
1,5,5,1,159,1591
1,5,5,1,159,1592
1,5,5,1,159,1593
1,5,5,1,159,1594
1,5,5,1,159,1595
3,5,5,5,160,1601
3,5,5,5,160,1602
3,5,5,5,160,1603
3,5,5,5,160,1604
3,5,5,5,160,1605
5,5,5,1,161,1611
5,5,5,1,161,1612
5,5,5,1,161,1613
5,5,5,1,161,1614
5,5,5,1,161,1615
3,5,5,1,162,1621
3,5,5,1,162,1622
3,5,5,1,162,1623
3,5,5,1,162,1624
3,5,5,1,162,1625
3,1,1,1,163,1631
3,1,1,1,163,1632
3,1,1,1,163,1633
3,1,1,1,163,1634
3,1,1,1,163,1635
5,1,1,1,164,1641
5,1,1,1,164,1642
5,1,1,1,164,1643
5,1,1,1,164,1644
5,1,1,1,164,1645
5,5,5,5,165,1651
5,5,5,5,165,1652
5,5,5,5,165,1653
5,5,5,5,165,1654
5,5,5,5,165,1655
3,5,1,1,166,1661
3,5,1,1,166,1662
3,5,1,1,166,1663
3,5,1,1,166,1664
3,5,1,1,166,1665
1,5,1,1,167,1671
1,5,1,1,167,1672
1,5,1,1,167,1673
1,5,1,1,167,1674
1,5,1,1,167,1675
1,1,1,1,168,1681
1,1,1,1,168,1682
1,1,1,1,168,1683
1,1,1,1,168,1684
1,1,1,1,168,1685
3,5,1,1,169,1691
3,5,1,1,169,1692
3,5,1,1,169,1693
3,5,1,1,169,1694
3,5,1,1,169,1695
3,5,5,5,170,1701
3,5,5,5,170,1702
3,5,5,5,170,1703
3,5,5,5,170,1704
3,5,5,5,170,1705
1,5,1,1,171,1711
1,5,1,1,171,1712
1,5,1,1,171,1713
1,5,1,1,171,1714
1,5,1,1,171,1715
3,5,5,1,172,1721
3,5,5,1,172,1722
3,5,5,1,172,1723
3,5,5,1,172,1724
3,5,5,1,172,1725
5,5,1,1,173,1731
5,5,1,1,173,1732
5,5,1,1,173,1733
5,5,1,1,173,1734
5,5,1,1,173,1735
3,5,1,5,174,1741
3,5,1,5,174,1742
3,5,1,5,174,1743
3,5,1,5,174,1744
3,5,1,5,174,1745
5,5,5,5,175,1751
5,5,5,5,175,1752
5,5,5,5,175,1753
5,5,5,5,175,1754
5,5,5,5,175,1755
3,5,1,5,176,1761
3,5,1,5,176,1762
3,5,1,5,176,1763
3,5,1,5,176,1764
3,5,1,5,176,1765
1,5,1,1,177,1771
1,5,1,1,177,1772
1,5,1,1,177,1773
1,5,1,1,177,1774
1,5,1,1,177,1775
5,5,1,1,178,1781
5,5,1,1,178,1782
5,5,1,1,178,1783
5,5,1,1,178,1784
5,5,1,1,178,1785
1,5,1,1,179,1791
1,5,1,1,179,1792
1,5,1,1,179,1793
1,5,1,1,179,1794
1,5,1,1,179,1795
5,5,5,1,180,1801
5,5,5,1,180,1802
5,5,5,1,180,1803
5,5,5,1,180,1804
5,5,5,1,180,1805
5,5,5,5,181,1811
5,5,5,5,181,1812
5,5,5,5,181,1813
5,5,5,5,181,1814
5,5,5,5,181,1815
5,5,1,5,182,1821
