Y1,YY1,X401,X402,X403,X405
1023,102,5,5,1,1
1024,102,5,5,1,1
1025,102,5,5,1,1
1031,103,1,5,5,1
1032,103,1,5,5,1
1033,103,1,5,5,1
1034,103,1,5,5,1
1035,103,1,5,5,1
1041,104,1,5,5,1
1042,104,1,5,5,1
1043,104,1,5,5,1
1044,104,1,5,5,1
1045,104,1,5,5,1
1051,105,1,5,5,1
1052,105,1,5,5,1
1053,105,1,5,5,1
1054,105,1,5,5,1
1055,105,1,5,5,1
1061,106,5,5,1,1
1062,106,5,5,1,1
1063,106,5,5,1,1
1064,106,5,5,1,1
1065,106,5,5,1,1
1071,107,3,5,1,1
1072,107,3,5,1,1
1073,107,3,5,1,1
1074,107,3,5,1,1
1075,107,3,5,1,1
1081,108,1,5,5,1
1082,108,1,5,5,1
1083,108,1,5,5,1
1084,108,1,5,5,1
1085,108,1,5,5,1
1091,109,3,5,5,5
1092,109,3,5,5,5
1093,109,3,5,5,5
1094,109,3,5,5,5
1095,109,3,5,5,5
1101,110,1,5,1,1
1102,110,1,5,1,1
1103,110,1,5,1,1
1104,110,1,5,1,1
1105,110,1,5,1,1
1111,111,3,1,1,1
1112,111,3,1,1,1
1113,111,3,1,1,1
1114,111,3,1,1,1
1115,111,3,1,1,1
1121,112,3,5,5,1
1122,112,3,5,5,1
1123,112,3,5,5,1
1124,112,3,5,5,1
1125,112,3,5,5,1
1131,113,1,5,5,1
1132,113,1,5,5,1
1133,113,1,5,5,1
1134,113,1,5,5,1
1135,113,1,5,5,1
1141,114,1,1,5,1
1142,114,1,1,5,1
1143,114,1,1,5,1
1144,114,1,1,5,1
1145,114,1,1,5,1
1151,115,5,5,1,5
1152,115,5,5,1,5
1153,115,5,5,1,5
1154,115,5,5,1,5
1155,115,5,5,1,5
1161,116,5,5,5,1
1162,116,5,5,5,1
1163,116,5,5,5,1
1164,116,5,5,5,1
1165,116,5,5,5,1
1171,117,3,5,1,5
1172,117,3,5,1,5
1173,117,3,5,1,5
1174,117,3,5,1,5
1175,117,3,5,1,5
1181,118,3,5,5,1
1182,118,3,5,5,1
1183,118,3,5,5,1
1184,118,3,5,5,1
1185,118,3,5,5,1
1191,119,3,1,1,1
1192,119,3,1,1,1
1193,119,3,1,1,1
1194,119,3,1,1,1
1195,119,3,1,1,1
1201,120,3,5,5,1
1202,120,3,5,5,1
1203,120,3,5,5,1
1204,120,3,5,5,1
1205,120,3,5,5,1
1211,121,1,5,5,1
1212,121,1,5,5,1
1213,121,1,5,5,1
1214,121,1,5,5,1
1215,121,1,5,5,1
1221,122,1,5,1,1
1222,122,1,5,1,1
1223,122,1,5,1,1
1224,122,1,5,1,1
1225,122,1,5,1,1
1231,123,3,5,1,1
1232,123,3,5,1,1
1233,123,3,5,1,1
1234,123,3,5,1,1
1235,123,3,5,1,1
1241,124,3,5,1,1
1242,124,3,5,1,1
1243,124,3,5,1,1
1244,124,3,5,1,1
1245,124,3,5,1,1
1251,125,3,5,1,1
1252,125,3,5,1,1
1253,125,3,5,1,1
1254,125,3,5,1,1
1255,125,3,5,1,1
1261,126,5,5,1,1
1262,126,5,5,1,1
1263,126,5,5,1,1
1264,126,5,5,1,1
1265,126,5,5,1,1
1271,127,3,5,1,1
1272,127,3,5,1,1
1273,127,3,5,1,1
1274,127,3,5,1,1
1275,127,3,5,1,1
1281,128,1,5,5,5
1282,128,1,5,5,5
1283,128,1,5,5,5
1284,128,1,5,5,5
1285,128,1,5,5,5
1291,129,1,1,1,1
1292,129,1,1,1,1
1293,129,1,1,1,1
1294,129,1,1,1,1
1295,129,1,1,1,1
1301,130,1,5,1,5
1302,130,1,5,1,5
1303,130,1,5,1,5
1304,130,1,5,1,5
1305,130,1,5,1,5
1311,131,3,5,1,1
1312,131,3,5,1,1
1313,131,3,5,1,1
1314,131,3,5,1,1
1315,131,3,5,1,1
1321,132,3,5,5,5
1322,132,3,5,5,5
1323,132,3,5,5,5
1324,132,3,5,5,5
1325,132,3,5,5,5
1331,133,1,1,1,1
1332,133,1,1,1,1
1333,133,1,1,1,1
1334,133,1,1,1,1
1335,133,1,1,1,1
1341,134,5,5,5,5
1342,134,5,5,5,5
1343,134,5,5,5,5
1344,134,5,5,5,5
1345,134,5,5,5,5
1351,135,5,5,1,5
1352,135,5,5,1,5
1353,135,5,5,1,5
1354,135,5,5,1,5
1355,135,5,5,1,5
1361,136,5,1,1,1
1362,136,5,1,1,1
1363,136,5,1,1,1
1364,136,5,1,1,1
1365,136,5,1,1,1
1371,137,5,5,1,1
1372,137,5,5,1,1
1373,137,5,5,1,1
1374,137,5,5,1,1
1375,137,5,5,1,1
1381,138,3,5,5,5
1382,138,3,5,5,5
1383,138,3,5,5,5
1384,138,3,5,5,5
1385,138,3,5,5,5
1391,139,3,5,5,1
1392,139,3,5,5,1
1393,139,3,5,5,1
1394,139,3,5,5,1
1395,139,3,5,5,1
1401,140,5,5,5,1
